Title,Company,Location,Contract,Skills,Link,Salaries
Computer Science Instructor,iSchool,"New Cairo, Cairo, Egypt ",Full timeWork from home,Full timeWork from homeEntry Level · 0 - 7 Yrs of Exp · Computer Science · Instructor · Training · Teaching · Science · Computer · Information Technology (IT) · Programming · Python · Robotics,https://wuzzuf.net/jobs/p/kHUbY0hZWs0B-Computer-Science-Instructor-iSchool-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Odoo Developer,Confidential -,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Odoo Developer · Information Technology (IT) · Computer Science · Business Systems · ERP · Functional · Odoo Modules · Python · Odoo · IT/Software Development,https://wuzzuf.net/jobs/p/2JwrlmKrm02h-Odoo-Developer-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb,not fetched
BI Team Lead,Excel Systems  ,"Sheikh Zayed, Giza, Egypt ",Full time,Full timeManager · 7+ Yrs of Exp · BI · Android · Communication skills · Computer Science · Engineering · Information Technology (IT) · Programming · Python · Software · Software Development,https://wuzzuf.net/jobs/p/cxOEWjzcfSsL-BI-Team-Lead-Excel-Systems-Giza-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Test Automation Engineer,SIA,"Maadi, Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 4 Yrs of Exp · Computer Science · Information Technology (IT) · Java · Software Testing · Testing · UI · Software · Software Development · HTML5 · Python,https://wuzzuf.net/jobs/p/J2GZ8ApN1aJQ-Test-Automation-Engineer-SIA-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Automation Testing Engineer,Capiter,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 4+ Yrs of Exp · Automation · Software Development · Java · Selenium · Agile · Scrum · Apache JMeter · RESTful API · Git · Python,https://wuzzuf.net/jobs/p/mdqfgsO2iETK-Senior-Automation-Testing-Engineer-Capiter-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Data Scientist,Wakeb Data,"Mohandessin, Giza, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · Data Science · Python · Computer Science · Data Scientist · Speech Recognition · Computer vision · machine-learning · Statistics · Information Technology (IT) · IT/Software Development,https://wuzzuf.net/jobs/p/2hrFOqdT0yRH-Senior-Data-Scientist-Wakeb-Data-Giza-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Data Analyst,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from home,Full timeWork from homeExperienced · 3+ Yrs of Exp · Analysis · Python · SQL · LMS · DBT · Data Analysis · Data · Looker · Scripting · BI,https://wuzzuf.net/jobs/p/SAP89CJNFjqc-Senior-Data-Analyst-360Imaging-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Mid/Senior System Engineer,Contensi Egypt for Software,"6th of October, Giza, Egypt ",Full timeWork from home,Full timeWork from homeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Cloud · Python · Java · English · DNS · Programming · Kubernetes · Gitlab,https://wuzzuf.net/jobs/p/PbtHjXNIjuOs-MidSenior-System-Engineer-Contensi-Egypt-for-Software-Giza-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Front-End Developer Team Leader - Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,Full timeManager · 5+ Yrs of Exp · Java · C++ · C# · HTML · CSS · Python · Information Technology (IT) · Adobe Illustrator · Adobe Indesign · Web Design,https://wuzzuf.net/jobs/p/bFIXp8lzqBZ8-Front-End-Developer-Team-Leader---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Full Stack Developer - Contract Position Possible,Gergco LLC,"New Cairo, Cairo, Egypt ",Full timeWork from home,Full timeWork from homeExperienced · 3 - 10 Yrs of Exp · Python · Computer Science · Information Technology (IT) · Git · React · javaScript · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/T7RqXA7TUEQc-Full-Stack-Developer---Contract-Position-Possible-Gergco-LLC-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Software Testing Engineer,CloudInn,"Dokki, Giza, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · Software Development · Testing · Software Testing · Financial Software · Software Engineering · Financial Operations · Testing Engineers · Hospitality · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/l11oeLcq8jOT-Software-Testing-Engineer-CloudInn-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Machine Learning Engineer,Technic,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 2 - 5 Yrs of Exp · Computer Science · Information Technology (IT) · Computer Vision · Machine Learning · Python · Computer Engineering · Keras · Tensorflow · Computer · AWS,https://wuzzuf.net/jobs/p/7Qj4zeXcrWVZ-Machine-Learning-Engineer-Technic-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Data Analyst,StatsBomb,"Nasr City, Cairo, Egypt ",Full time,Full timeExperienced · 5+ Yrs of Exp · Data Analysis · Analysis · Data · Analytical · Power BI · Tableau · BI · Data Visualization · Information Technology (IT) · English,https://wuzzuf.net/jobs/p/GrHj1Ak7zb9Y-Senior-Data-Analyst-StatsBomb-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Software Engineer (Ruby On Rails),Premier Services and Recruitment,"Cairo, Egypt ",Full timePart timeFreelance / Project,Full timePart timeFreelance / ProjectExperienced · 5+ Yrs of Exp · Ruby On Rails · Computer Science · Information Technology (IT) · NoSQL · javaScript · AWS · Docker · REST · Python · NodeJS,https://wuzzuf.net/jobs/p/7g1GJ1XqoaqC-Senior-Software-Engineer-Ruby-On-Rails-Premier-Services-and-Recruitment-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Cloud Engineer,Evolvice GmbH,"Cairo, Egypt ",Full timeWork from home,Full timeWork from homeExperienced · 3+ Yrs of Exp · Cloud · AWS · Python · Networking · Computer Science · Information Technology (IT) · Engineering · Linux · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/Vluw9QCYhMvn-Cloud-Engineer-Evolvice-GmbH-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Software Developer,IOP,"Heliopolis, Cairo, Egypt ",Internship,InternshipEntry Level · Information Technology (IT) · Software Development · Computer Science · web service · system integration · IOT · AI · SQL · database hosting · Programming,https://wuzzuf.net/jobs/p/uaeUFAYzIFn5-Software-Developer-IOP-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Linux System Engineer,Link Datacenter,"Dokki, Giza, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · Engineering · Communication Engineering · Information Technology (IT) · Computer Science · Installation · Maintenance · Solaris · CentOS · RedHat · NGINX,https://wuzzuf.net/jobs/p/Sch6h74wUEOq-Senior-Linux-System-Engineer-Link-Datacenter-Giza-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Odoo Developer,T&D Design,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 2 - 5 Yrs of Exp · Odoo · HTML · Information Technology (IT) · Computer Science · Python · PostgreSQL · Linux · Git · Odoo Modules · Pycharm,https://wuzzuf.net/jobs/p/CZoThNqUfJYE-Odoo-Developer-TD-Design-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|hpb,not fetched
DevOps Engineer,Beyond Solution,"Maadi, Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · Computer Science · AWS · Linux · Rest · Information Technology (IT) · SonarQube · Docker · XRat · Jira · Bitbucket,https://wuzzuf.net/jobs/p/24HwuUbKoTQL-DevOps-Engineer-Beyond-Solution-Cairo-Egypt?o=65&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Machine Learning Researcher,RDI,"Dokki, Giza, Egypt ",Full time,Full timeEntry Level · 0 - 3 Yrs of Exp · Machine Learning · Deep Learning · Python · TensorFlow · Computer Engineering · Computer Science · Flask · GIT · Linux · C++,https://wuzzuf.net/jobs/p/SqIOEB3989tU-Machine-Learning-Researcher-RDI-Giza-Egypt?o=66&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Data Analyst,Nana,"Sheraton, Cairo, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · SQL · Tableau · BI · Power BI · Python · MYSQL · Data science · Data Manipulation · Data Visualization,https://wuzzuf.net/jobs/p/s1RxDd9HBn9a-Senior-Data-Analyst-Nana-Cairo-Egypt?o=67&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Software Test Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",Full time,Full timeExperienced · 2 - 5 Yrs of Exp · Automation · Java · RPA · C# · Software Testing · Selenium · Testing · Programming · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/CItb0m5nhqgp-Software-Test-Automation-Engineer-AFKAR-Technology-Giza-Egypt?o=68&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Robotics Instructor Steam,iSchool,"New Cairo, Cairo, Egypt ",Full time,Full timeEntry Level · 0 - 10 Yrs of Exp · Teaching · Education · Lego · Stem · Mechanical · Robot · Robotics · Engineering · Electronics · Programming,https://wuzzuf.net/jobs/p/ngODUU6MN64s-Robotics-Instructor-Steam-iSchool-Cairo-Egypt?o=69&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Software Engineer,Mitcha,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 2 - 4 Yrs of Exp · Programming · Computer Science · Python · PHP · Java · Hosting · UNIX · Information Technology (IT) · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/GqA2DS4umnEo-Software-Engineer-Mitcha-Cairo-Egypt?o=70&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Information Security Administrator,One Point Holding,"Heliopolis, Cairo, Egypt ",Full time,Full timeExperienced · 3 - 6 Yrs of Exp · Cisco · Information Technology (IT) · Computer Science · Engineering · Security · Network Security · Network · Computer · Firewalls · Information Security,https://wuzzuf.net/jobs/p/GnnvkPVXxfV5-Information-Security-Administrator-One-Point-Holding-Cairo-Egypt?o=71&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Devops Engineer,WebOps,"New Cairo, Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · devops · Software Development · Information Technology (IT) · Computer Science · Computer Engineering · AWS · Linux · Git · Azure · Python,https://wuzzuf.net/jobs/p/07hZAMM9CK3f-Devops-Engineer-WebOps-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Software Testing Engineer,FILLFLIX for Software,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 5+ Yrs of Exp · Computer Science · Information Technology (IT) · Testing · Software Development · Jira · ISTQB · Software Testing · Selenium · Java · python,https://wuzzuf.net/jobs/p/VBypfuOVO8l8-Senior-Software-Testing-Engineer-FILLFLIX-for-Software-Cairo-Egypt?o=73&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Full Stack Software Engineer - Remotely,KaGoal,"Cairo, Egypt ",Full timePart timeWork from home,Full timePart timeWork from homeExperienced · 2 - 3 Yrs of Exp · Software Development · Node.js · Information Technology (IT) · javaScript · Full Stack · HTML · React · Software · Software Engineering · SQL,https://wuzzuf.net/jobs/p/84ztSGiVTjFX-Full-Stack-Software-Engineer---Remotely-KaGoal-Cairo-Egypt?o=74&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Odoo Developer,Docuserv,"Cairo, Egypt ",Full time,Full timeExperienced · 2 - 4 Yrs of Exp · Odoo · Python · Odoo Modules · PostgreSQL · XML · API · Information Technology (IT) · Computer Science · GIT · javaScript,https://wuzzuf.net/jobs/p/EIWrF3QeUhX8-Senior-Odoo-Developer-Docuserv-Cairo-Egypt?o=75&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Google Cloud Data Architect,Technidrome,"Cairo, Egypt ",Full time,Full timeExperienced · 5 - 15 Yrs of Exp · Information Technology (IT) · Computer Science · Google Cloud · Cloud · Computer Engineering · Engineering · Google · Data Engineering · English · Hadoop,https://wuzzuf.net/jobs/p/vEkRhS11vwO1-Google-Cloud-Data-Architect-Technidrome-Cairo-Egypt?o=76&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Full Stack Developer (PHP Laravel & Vue.js),Starzly,"Cairo, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · full stack · Software Development · Laravel · React · MongoDB · Information Technology (IT) · Computer Science · MySQL · Git · Software,https://wuzzuf.net/jobs/p/6glm4eLIkoNB-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-Starzly-Cairo-Egypt?o=77&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Back-End Developer,Blnk Consumer Finance,"Giza, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Python · Django · Telecom Engineering · Back-End Developer · Development · IT/Software Development,https://wuzzuf.net/jobs/p/0yaLi84JmpwC-Back-End-Developer-Blnk-Consumer-Finance-Giza-Egypt?o=78&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Devops Engineer,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · DevOps · Software Development · Python · Agile · AWS · Automation · Docker · IT/Software Development,https://wuzzuf.net/jobs/p/aFagFru3hNRu-Devops-Engineer-Kashier-Payment-Solutions-Cairo-Egypt?o=79&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Django Developer,Pillars,"Cairo, Egypt ",Full time,Full timeManager · 5 - 12 Yrs of Exp · Django · Information Technology (IT) · Computer Science · Agile · Python · Development · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/FFWwJUpRGJlD-Senior-Django-Developer-Pillars-Cairo-Egypt?o=80&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Data Scientist,B.Tech,"Nasr City, Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · Python · Information Technology (IT) · Computer Science · Data Science · Statistics · SQL · MySQL · Data · Science · Mathematics,https://wuzzuf.net/jobs/p/AWyomu98Kn2y-Data-Scientist-B-Tech-Cairo-Egypt?o=81&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Odoo Technical Consultant,OdooTec,"New Cairo, Cairo, Egypt ",Full time,Full timeEntry Level · 1+ Yrs of Exp · odoo · python · Technical Consultant · IT · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/aQsR60XGXBgZ-Odoo-Technical-Consultant-OdooTec-Cairo-Egypt?o=82&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Full Stack Developer (PHP Laravel & Vue.js),CrossWorkers,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Laravel · VueJs · AJAX · MySQL · javaScript · PHP Laravel · PHP · Computer Science,https://wuzzuf.net/jobs/p/JocU1ukWYcvQ-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-CrossWorkers-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|hpb,not fetched
SDE - 1,Confidential -,"Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · SQL · C# · Java · IT · Computer Science · Engineering · Telecom · Python · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/Zkyusn1kNnSa-SDE---1-Cairo-Egypt?o=84&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Backend Developer,1336 Studios,"Cairo, Egypt ",Full timeWork from home,Full timeWork from homeExperienced · 4+ Yrs of Exp · AWS ECS · AWS EC2 · Django · Flask · FP · DynamoDB · NoSQL · PostgreSQL · MySQL · Kubernetes,https://wuzzuf.net/jobs/p/91V1GRSZDqTg-Senior-Backend-Developer-1336-Studios-Cairo-Egypt?o=85&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Test Automation Engineer,buseet,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · Katalon · Seleium · appuim · Testing · QC · Automated Testing · Security · Computer Science · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/J7RIzhM4Bxsr-Senior-Test-Automation-Engineer-buseet-Cairo-Egypt?o=86&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Data Analyst,Confidential -,"Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Data Analysis · BI · SQL · Tableau · Business · Analytical · Data · Information Technology (IT) · Python · Computer Science,https://wuzzuf.net/jobs/p/tBGEcQp3jGpV-Data-Analyst-Cairo-Egypt?o=87&l=sp&t=sj&a=python|search-v3|hpb,not fetched
SDE - 2,Confidential -,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 5+ Yrs of Exp · SQL · IT · Computer Science · Engineering · Telecom · Java · Python · .NET · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/AJEBn14Ki15r-SDE---2-Cairo-Egypt?o=88&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Robotic Designer,Icity,"Cairo, Egypt ",Full time,Full timeExperienced · 2+ Yrs of Exp · Python · Robotics · C# · Computer · Computer Science · Engineering · Mechatronics · Mechanical · C++ · LiDAR,https://wuzzuf.net/jobs/p/SXOsnm3DTIkI-Robotic-Designer-Icity-Cairo-Egypt?o=89&l=sp&t=sj&a=python|search-v3|hpb,not fetched
SDE-3,Confidential -,"Maadi, Cairo, Egypt ",Full time,Full timeExperienced · 7+ Yrs of Exp · API · Java · Python · IT · Computer Science · Engineering · Telecom · .Net · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/25rU2T5hoZVG-SDE-3-Cairo-Egypt?o=90&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Junior Data Scientist/ML Engineer,TMentors,"Cairo, Egypt ",Full time,Full timeEntry Level · 0 - 3 Yrs of Exp · Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT) · SQL · Statistics,https://wuzzuf.net/jobs/p/hpV79EG5sNSM-Junior-Data-ScientistML-Engineer-TMentors-Cairo-Egypt?o=91&l=sp&t=sj&a=python|search-v3|hpb,not fetched
IoT Engineer,Icity,"Cairo, Egypt ",Full time,Full timeExperienced · 2+ Yrs of Exp · Computer Science · Information Technology (IT) · Linux · Electronics · IoT · English · MQTT · Engineering · Computer Engineering · Electrical,https://wuzzuf.net/jobs/p/T1CjhxY1x8xH-IoT-Engineer-Icity-Cairo-Egypt?o=92&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Odoo Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · Odoo · Python · Information Technology (IT) · Odoo Modules · Computer Science · GIT · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/2LlyF2dioSQY-Senior-Odoo-Developer-Cairo-Egypt?o=93&l=sp&t=sj&a=python|search-v3|hpb,not fetched
IT Infrastructure Supervisor / Engineer,Confidential -,"Cairo, Egypt ",Full time,Full timeManager · 3 - 8 Yrs of Exp · Information Technology (IT) · Infrastructure · Computer Science · Engineering · Computer · Linux · Information Technology · Configuration · Python · Git,https://wuzzuf.net/jobs/p/Vt602GYaNs9g-IT-Infrastructure-Supervisor-Engineer-Cairo-Egypt?o=94&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Odoo Developer,Technic,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 2 - 5 Yrs of Exp · Odoo · information technology · Information Technology (IT) · Computer Science · GIT · Design · HTML · XML · Odoo Modules · SQL,https://wuzzuf.net/jobs/p/jOxc5EK9SsIM-Odoo-Developer-Technic-Cairo-Egypt?o=95&l=sp&t=sj&a=python|search-v3|hpb,not fetched
